1214,稚内市,16928,3.066,2.700,4.537,0.077,9.540,10.409,0.372,0.502,5.441,14.892,2.203,1.187,2.505,5.588,3.497,4.064,9.328,2.003,6.587,8.388,5.813,8.072,21.262,70.666
1215,美唄市,10047,14.293,14.263,0.000,0.269,10.620,9.983,0.438,0.428,4.857,10.889,1.324,0.796,1.075,5.355,3.155,3.235,16.234,2.538,5.713,6.430,2.369,14.640,21.378,63.982
1216,芦別市,6152,10.436,9.574,0.000,0.845,7.607,19.034,0.406,0.146,3.332,12.695,0.975,0.601,0.666,6.128,5.104,2.438,15.247,1.187,6.518,5.966,0.666,10.506,27.671,61.823
1217,江別市,53086,2.707,2.652,0.004,0.021,9.014,8.936,0.578,2.381,7.006,16.986,1.889,2.016,2.967,5.109,3.432,5.785,12.858,1.038,7.978,4.050,5.246,2.861,18.966,78.173
1218,赤平市,4474,4.627,4.291,0.000,0.894,8.873,17.479,0.134,0.179,3.956,12.584,1.363,0.492,0.626,3.934,9.075,1.520,17.591,1.095,8.471,5.901,1.207,4.683,27.579,67.738
1219,紋別市,11270,4.898,3.682,4.126,0.222,8.767,16.539,0.754,0.311,4.747,14.809,1.650,1.091,1.730,5.395,3.620,4.596,10.506,2.272,5.572,4.525,3.869,9.387,26.555,64.058
1220,士別市,9507,18.197,17.377,0.000,0.126,10.487,6.795,0.316,0.231,3.934,12.717,1.315,0.652,2.514,4.965,3.071,3.650,13.558,2.956,6.216,4.965,3.334,18.825,18.009,63.166
1221,名寄市,14377,11.581,11.129,0.007,0.097,6.309,4.806,0.862,0.369,4.173,14.245,1.885,0.835,1.600,5.502,3.325,4.980,14.106,1.767,5.641,14.801,3.109,11.960,11.572,76.468
1222,三笠市,3400,9.118,8.441,0.000,0.529,10.235,8.853,0.735,0.471,4.912,15.382,0.941,0.765,1.265,4.088,4.000,2.853,19.029,1.294,8.265,6.971,0.294,9.145,19.676,71.180
1223,根室市,13876,2.508,2.443,17.440,0.123,5.715,16.950,0.504,0.353,3.236,13.909,2.162,0.584,1.110,4.706,3.178,3.286,7.927,2.695,4.468,7.740,1.405,20.232,23.112,56.655
